id,gmtModified,commentorId,userNickName,content,mark,schoolName,termId,status,courseId
106856,1520992287807,1034142478,ullen_WK,又开了一扇窗，挺有意思的一门课,5.0,,1002655009,1,1001964004
3944851,1603358155404,1444888678,20级自动化2001杨鑫馨,哈哈，人多评论多难道不是因为好多外校同学过来蹭课嘛，毕竟是开放课而且课题很有意思啊，对于非专业学生来说，这些东西已经够啦！感谢老师哈哈哈哈哈哈,5.0,,1461777448,1,1001964004
3307766,1588044705795,1386184850,mooc22881254813848627,植物种类繁多，学习了《园艺概论》方知自然界的深奥！谢谢老师们细心的教导，感恩无限！,5.0,,1450327445,1,1001964004
2155691,1570545295384,1145023662,经济学1602宋晓甦,"说到园艺概论，大多数人可能会想到一些花花草草，然而，经过这段时间的学习，我明白花草只是园艺的一小部分。实际上园艺概论指的是研究园艺植物的种质资源、生长发育规律、繁殖、栽培、育种、贮藏、加工、病虫以及造园等的科学概论。随着时代的进步，人类生活水平的提高和生活条件在逐步改善, 在我国农业现代化高潮到来的大背景下，我国的园艺事业得到迅速发展。许多园艺产品也走进了寻常百姓的生活中",5.0,,1206915230,1,1001964004
2125719,1569048773179,1148468189,万之捷,挺不错的，认真听并且看看自己感兴趣的，能收获不少,5.0,,1206915230,1,1001964004
1906312,1559182756278,1269584,fj105cn,很好的课程，会一直坚持学习。,5.0,,1206077259,1,1001964004
311543,1537456532363,1136574547,MPAcc212-聂雅茹,非常棒，老师讲的很清楚很仔细，能学到很多知识。,5.0,,1003310020,1,1001964004
94493,1519299903162,1691899,iamsusor,还好的，课程内容很丰富，就是有些严格，作业内容也丰富，对选择很多课程的人不是什么好消息，不过呢，真的对园艺热爱的孩子们，还是很稀饭的哈~o(*￣︶￣*)o~,5.0,,1002655009,1,1001964004
94339,1519184524304,1018853132,凯撒818,实用，易懂，长见识了！,5.0,,1002655009,1,1001964004
86521,1517748350750,1028852269,谢午阳,虽然不是园艺专业，但不能仅仅局限于本专业的学习，还应该广泛地听取各家精华，来丰富自己的专业知识！,4.0,,1002655009,1,1001964004
83802,1517562695738,607095,Sunset1989,  主要还是看兴趣   觉得很不错  期待~,5.0,,1002655009,1,1001964004
84311,1517493035890,1019067052,静亭旭松,内容很专业也很科学，不过有点书面化，稍有刻板。希望这门课更加活泼有趣，更加自然流畅。,4.0,,1002655009,1,1001964004
84181,1517484261124,1036096595,Donlly,真的很好，老师讲的也很全面，知识点也比较完整，课件准备的比较好，可以不断的复习知识点，同时也更好的帮助专业的学习，也能够不断的提升自己眼界。,5.0,,1002655009,1,1001964004
7890957,1766732720267,1561263805,汪予璠,受益匪浅，特别好 ,5.0,,1475496497,1,1001964004
7885336,1766461998431,1451684669,22经济2405丁雨晴,对许多作物有了深刻了解,5.0,,1475496497,1,1001964004
7873146,1766309604820,1467518338,apple001487.3db00cab53da41639d5ede7c4049,很好的课程 ,5.0,,1475496497,1,1001964004
7875128,1766307379613,1459923734,耳背选手,.......,5.0,,1475496497,1,1001964004
7873877,1766158300272,1584816061,鸣笙k1241212561505222575,很不错喔，学到很多新知识,5.0,,1475496497,1,1001964004
7801526,1762565617096,1555801701,会计2302张媚迪,内容丰富、灵活性高,5.0,,1475496497,1,1001964004
7726271,1753063900677,2840229,麦秸,对园艺爱好者来说，挺好的课,5.0,,1474199480,1,1001964004
7529240,1745415910265,1574575694,青鸟k12187753785727515493,我希望题目可以反复刷,4.0,,1474199480,1,1001964004
7511367,1745066672926,1577405688,嘿       嘿。    嘿,考试过早结束,1.0,,1474199480,1,1001964004
7512292,1744950384648,1576088450,HZAU园艺2401段国然,真的讲的好 ,5.0,,1474199480,1,1001964004
7512291,1744950241585,1577168966,HZAU茶学2401龚思甜,很好的课程，非常喜欢,5.0,,1474199480,1,1001964004
7509245,1744889687759,1577391009,Freiterm,课程内容丰富,5.0,,1474199480,1,1001964004
7515206,1744869013035,1577642664,HZAU设施2401美合日班,更加了解了园艺作物,5.0,,1474199480,1,1001964004
7484281,1744645538543,1527092850,Haidee_J,有的老师讲得好，有的讲的一般，但是还是增长了知识的,4.0,,1474199480,1,1001964004
7479402,1744548286089,1577099578,官钰娟园艺2402,好好好棒棒棒,5.0,,1474199480,1,1001964004
7476221,1744329292511,1530450082,茶学2401李若惜,我服了 同样的课程在spoc上看过了，再在认证学习上看就不计入我是时长了 这是什么意思？,1.0,,1474199480,1,1001964004
7478217,1744291707574,1577089456,Fk1228704368259149534,给我带来了方便，我可以随时学到我自己不会的知识 ,1.0,,1474199480,1,1001964004
7331646,1735365864522,1536435425,HZAU工商2201田相洲,受益良多，老师教的很好 ,5.0,,1473178589,1,1001964004
7318250,1734968797648,1566252550,会计2301江宇珊,太难了，看不懂,5.0,,1473178589,1,1001964004
7305306,1734695648295,1536234239,鳶落,课程挺好的,5.0,,1473178589,1,1001964004
7292576,1734276893731,1479646276,能动2101王珂,挺好的一门课程,5.0,,1473178589,1,1001964004
7291365,1734240676853,1535237459,财管2201彭瑞锟,能学到东西,5.0,,1473178589,1,1001964004
406554,1542771984621,1017586790,垂钓戈壁滩,讲的很好，当测绘入门完全够用了。有两点建议：1，共享下课件吧，复习起来不用再从头听一遍；2，老师能否再开一门大地测量的课程，细讲一下理论计算方面的知识。比如说坐标转换的四参数、七参数，有哪些计算模型，重力值如何应用于大地测量，平差算法最好也能展开讲讲。,5.0,,1001940009,1,1001850003
3751216,1594112372353,1440847938,俺愿意吃鱼,学地质的，因为工作接触到测量，因为偶然进入到慕课，来的有点晚，课程作业都没法提交了。 何老师讲解思路很清晰，内容循环渐进，又互相呼应，对理解加深很有帮助，给个大写的赞。 曾经我们坐在课堂之上，困倦的等待下课。现在养家糊口，抽空认真听一堂课，却早已不是课堂中人……,5.0,,1450628462,1,1001850003
487838,1545892648381,6570425,In刘大树,何老师课讲的很好，条例清晰，很容易理解，推荐推荐！,5.0,,1003309021,1,1001850003
