id,name,teacherName,schoolName,enrollCount,startTime,endTime,currentTermId,type,channelId
1473676164,大学物理,徐春龙,长安大学,1206,1772758800000,1783006200000,1476727506,306,3003
1471756163,能源与碳中和系统工程,王科,北京理工大学,114,1772416800000,1784561400000,1476723511,306,3004
1206706849,建筑构造原理与设计,赵敬辛,南阳理工学院,111,1772416800000,1783265400000,1476738464,306,3003
1206688836,通信原理,杨蕾,中原工学院,111,1772416800000,1783697400000,1476723463,306,3003
1472838174,电机学,林伟杰,杭州电子科技大学,11,1772503200000,1783265400000,1476735458,306,3003
1003370001,急危重症护理学,马玲,郑州大学,11,1772758800000,1784993400000,1476752469,306,3008
1474450167,中国古代文学,黄卓颖,南京师范大学,21,1772676000000,1784127600000,1476737462,306,3005
1465893162,结构力学（下）,吴耀鹏,西安建筑科技大学,14,1772416800000,1782833400000,1476749466,306,126001
1469497163,内部控制学,黄艳艳,金陵科技学院,19,1772503200000,1781969400000,1476737460,306,3004
1461554161,机器视觉技术与应用,李竹,杭州电子科技大学,40,1772676000000,1783697400000,1476750461,306,126001
1207125823,工程力学,夏冬生,大连海事大学,298,1772244000000,1784302200000,1476738448,306,56001
1205885806,趣味符号学,胡易容,四川大学,26,1772589600000,1784127600000,1476745452,306,3005
1463664167,土木类创新拓展训练,沈扬,河海大学,4,1772323200000,1780243200000,1476750449,306,126001
1449558164,社会救助,王锴,河海大学,23,1772416800000,1783870200000,1476753447,306,3005
1001755149,水工建筑物,顾冲时,河海大学,34,1772762400000,1782833400000,1476750447,306,126001
1207114803,宏观经济学,王保乾,河海大学,20,1772323200000,1782748800000,1476754442,306,3004
1206727802,现代工程图学,田辉,河南农业大学,12,1772503200000,1784129400000,1476722444,306,126001
1461082169,公司金融,张群姿,山东大学,26,1772416800000,1783697400000,1476740442,306,3004
1465598165,材料性能学,陈建清,河海大学,16,1772416800000,1785511800000,1476709444,306,126001
1450317378,游戏引擎原理及应用,韩红雷,中国传媒大学,263,1772323200000,1780327800000,1476683443,306,3002
1461296162,影像解剖学,彭新桂,东南大学,30,1772758800000,1783524600000,1476678477,306,3008
1461291162,放射诊断学,居胜红,东南大学,8,1772758800000,1783524600000,1476677474,306,3008
1471750164,人工智能与计算科学,薛静锋,北京理工大学,87,1772409600000,1783265400000,1476673446,306,126001
1449654161,生物化学与分子生物学,颜景芝,徐州医科大学,39,1772586000000,1783697400000,1476649454,306,3008
1002744004,计算机网络实验,张力军,北京航空航天大学,53,1772409600000,1782833400000,1476664442,306,3002
1470426172,物理化学实验,朱莉娜,天津大学,42,1772330400000,1782833400000,1476538442,306,126001
1206660803,英语国家概况,刘政,江西师范大学,40,1772676000000,1782833400000,1476483460,306,2002
1003788007,口腔组织病理学,王霞,滨州医学院,90,1771812000000,1783870200000,1476506458,306,3008
1206506805,微生物学实验,郝晓冉,北京师范大学,74,1772071200000,1785511800000,1476500458,306,126001
1470427187,化学教学论,邓峰,华南师范大学,126,1772701200000,1783697400000,1476744592,306,3003
1002534006,钢结构设计原理,贺拥军,湖南大学,4,1772762400000,1782833400000,1476729583,306,3003
1464118175,花卉学,姜贝贝,四川农业大学,12,1772762400000,1783870200000,1476745583,306,3003
1449257161,人兽共患病与人类健康,吴晓平,福建农林大学,7,1772762400000,1781537400000,1476749558,306,3003
1461797178,分子光谱与成像,王伟,南京大学,22,1772676000000,1782833400000,1476750559,306,3003
1001795015,工程力学,唐克东,华北水利水电大学,4,1772589600000,1782833400000,1476744552,306,3003
1471171186,海洋油气腐蚀与防护,张智,西南石油大学,85,1772589600000,1778427000000,1476728558,306,3003
1468545161,微生物学,辜运富,四川农业大学,13,1772762400000,1783870200000,1476745553,306,3003
1206528801,材料成形技术基础,张琦,西安交通大学,117,1772676000000,1780241400000,1476747545,306,3003
1206356803,船舶设计原理,解德,华中科技大学,39,1772676000000,1779723000000,1476731511,306,3003
1003380007,有机化学——结构·反应·机理·合成,王微宏,中南大学,65,1772330400000,1782833400000,1476749513,306,3003
1207420807,普通化学原理（定量分析基础）,李银环,西安交通大学,20,1772416800000,1783265400000,1476723524,306,3003
1003538122,有机化学实验I,刘路,华东师范大学,33,1772503200000,1780241400000,1476740522,306,3003
1003367011,大学化学实验,张丽丹,北京化工大学,196,1772330400000,1784129400000,1476742504,306,3003
1207232804,固体物理学,李丹,北京交通大学,76,1772413200000,1780327800000,1476744504,306,3003
1206703839,电磁场与波,叶齐政,华中科技大学,214,1772416800000,1783697400000,1476753512,306,3003
1206526802,大学物理（下）,白晓军,西北工业大学,19,1772758800000,1783697400000,1476739505,306,3003
1207120813,大学物理（上）,白晓军,西北工业大学,64,1772758800000,1783697400000,1476732506,306,3003
1002087008,冶金资源综合利用与环境保护,孙丽枫,东北大学,127,1772676000000,1780155000000,1476745499,306,3003
1206459805,机械原理及设计,郭卫东,北京航空航天大学,39,1772416800000,1782833400000,1476722502,306,3003
1463199167,电介质物理,徐卓,西安交通大学,28,1772416800000,1784647800000,1476751484,306,3003
1003718001,地球信息科学与空间技术,赖日文,福建农林大学,2,1772762400000,1781969400000,1476739481,306,3003
1206696838,工程水文学,康玲,华中科技大学,185,1772416800000,1781105400000,1476722487,306,3003
1206502809,制冷与低温技术原理,厉彦忠,西安交通大学,57,1772416800000,1785425400000,1476722485,306,3003
1207106807,锅炉原理,车得福,西安交通大学,114,1772416800000,1782833400000,1476742472,306,3003
1003740001,形象思维与工程语言（含工程图学）,杨培中,上海交通大学,30,1772589600000,1777649400000,1476735481,306,3003
1207176812,动物解剖及组织胚胎学,陈正礼,四川农业大学,66,1772416800000,1782833400000,1476754469,306,3003
1450328379,游戏开发程序设计基础,韩红雷,中国传媒大学,86,1772323200000,1780327800000,1476696441,306,3002
1003379015,信息安全数学基础,陈恭亮,上海交通大学,211,1772413200000,1779634800000,1476505441,306,3002
1461782176,数据挖掘,丁兆云,国防科技大学,239,1772154000000,1785510000000,1476749455,306,56001
1205809816,计算机硬件系统设计,谭志虎,华中科技大学,246,1772323200000,1784302200000,1476677473,306,3002
1002837013,软硬件综合设计,薄钧戈,西安交通大学,17,1772409600000,1783697400000,1476585464,306,3002
1003718005,Java核心技术(进阶),陈良育,华东师范大学,33,1772755200000,1782055800000,1476588468,306,114001
1452634174,大数据与法律检索,黄文旭,湖南师范大学,319,1772676000000,1785511800000,1476756559,306,3005
298002,数据结构,耿国华,西北大学,53,1772582400000,1781969400000,1476748482,306,3002
1001527001,计算机组成原理（下）,刘宏伟,哈尔滨工业大学,155,1772413200000,1782831600000,1476586446,306,3002
309001,计算机组成原理（上）,刘宏伟,哈尔滨工业大学,352,1772413200000,1782831600000,1476590444,306,3002
1002127001,大学计算机--Python算法实践,李金双,东北大学,17,1773018000000,1780932600000,1476737566,306,3002
1001765003,计算机控制系统,关守平,东北大学,285,1773018000000,1780155000000,1476314457,306,3002
1002607070,嵌入式软件设计,赖晓晨,大连理工大学,72,1772409600000,1780068600000,1476749478,306,3002
